symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600110,中科英华,1.7808321303448091,0.576037,298.708,77.8355
sh600111,北方稀土,-4.166196262545144,3.37132,205.85,-51.473
sh600112,天成控股,-3.6917445626325796,3.7533499999999997,479.55,-22.8668
sh600113,浙江东日,4.9799405343485255,3.89805,166.083,27.5699
sh600114,东睦股份,-1.3326607394804222,1.19795,166.435,57.5789
sh600115,东方航空,-11.04000346861006,0.7722009999999999,150.894,-85.0544
sh600116,三峡水利,2.0938826348626436,1.3655499999999998,214.851,-55.3697
sh600118,中国卫星,3.0119894656833357,3.3492800000000003,325.967,33.6866
sh600119,长江投资,12.434027835990639,6.80989,1238.13,58.7172
sh600120,浙江东方,-2.0395070576708045,2.14552,101.03,-43.4897
sh600121,郑州煤电,6.737339155409834,1.06952,254.475,81.7105
sh600122,宏图高科,1.9724391530065186,6.58989,365.806,16.5995
sh600123,兰花科创,-17.839554749179914,0.756144,216.736,-87.6019
sh600125,铁龙物流,1.1310348978300155,2.08855,216.97,-58.8774
sh600126,杭钢股份,11.619980227097027,3.01263,122.958,69.1397
sh600127,金健米业,-18.620395213185,2.95302,262.417,-69.7778
sh600128,弘业股份,11.500906850891973,5.4115,367.533,33.747
sh600129,太极集团,-2.971784677721408,3.81206,238.047,-21.5532
sh600130,波导股份,18.84069442455796,4.3573,292.101,73.2216
sh600131,岷江水电,5.752654135752695,2.50569,166.376,0.0
sh600132,重庆啤酒,-0.2535691706298465,0.763035,163.401,5.6833
sh600133,东湖高新,7.895732710970445,5.17241,397.059,53.0016
sh600135,乐凯胶片,14.30928263230851,10.022,566.992,41.3361
sh600138,中青旅,0.8818581469060578,2.82509,189.472,27.0515
sh600139,西部资源,13.705456195545137,6.23091,312.822,57.5259
sh600141,兴发集团,-1.8032224205169696,2.04842,210.502,51.8324
sh600143,金发科技,34.67240096424381,10.022,561.802,72.4763
sh600146,大元股份,2.6173447655559254,1.39738,85.2702,71.0863
sh600148,长春一东,-7.669238729031071,1.26582,149.316,60.5181
sh600149,廊坊发展,-3.4709263804860258,3.0381,458.869,-58.3879
sh600150,中国船舶,-7.4416323288819015,0.214509,166.971,-88.4021
sh600152,维科精华,6.68257543056047,6.2125699999999995,403.768,7.86878
sh600153,建发股份,-5.959467381109695,4.05983,152.981,-8.53638
sh600156,华升股份,-6.221476010233796,0.0,183.496,-90.0
sh600157,永泰能源,12.408541110454287,7.282909999999999,321.668,61.9683
sh600158,中体产业,-2.838528848661343,0.93913,904.212,-79.9226
sh600159,大龙地产,-2.3698473753635976,4.4753099999999995,352.42,-51.2971
sh600160,巨化股份,16.313408313488274,5.37514,169.625,72.9312
sh600161,天坛生物,2.6264994534466046,1.8017999999999998,142.69,73.0554
sh600162,香江控股,14.94314874194804,2.62009,174.771,51.9121
sh600165,新日恒力,19.215785677567947,6.04964,292.394,63.6013
sh600166,福田汽车,-3.1347507304764757,2.31065,154.968,-50.3329
sh600167,联美控股,10.141456127986523,4.0569,92.9154,58.2299
sh600168,武汉控股,-2.6421453112164253,0.896287,117.392,-74.4676
sh600170,上海建工,-13.604279868124946,2.12766,49.3401,-71.0745
sh600171,上海贝岭,3.468714332045257,5.32915,455.692,11.1554
sh600173,卧龙地产,-11.128371827219592,2.14823,194.773,-78.4883
sh600175,美都能源,4.323538760823023,2.22222,173.66,-19.879
sh600176,中国巨石,-7.769406935678896,-2.55489,188.796,-120.758
sh600177,雅戈尔,-0.17447179022032322,3.11154,211.48,37.5785
sh600178,东安动力,-2.8425287613215584,3.10881,110.644,-49.3823
sh600179,黑化股份,31.269750504108103,10.0,25.5592,63.3702
sh600180,瑞茂通,18.052506409372775,8.32049,457.014,43.1711
sh600182,S佳通,13.028360388167012,3.15834,183.588,72.4121
sh600183,生益科技,-5.810801143044213,1.7507700000000002,179.346,-39.3809
sh600184,光电股份,-7.02316155214535,0.433583,89.9688,80.6896
sh600185,格力地产,-7.289492640169902,1.6860199999999999,225.194,-73.0618
sh600186,莲花味精,24.20750841302957,8.93099,509.534,61.9964
sh600187,国中水务,-0.4335574289658739,2.9268300000000003,283.034,-48.6423
sh600188,兖州煤业,-12.029270297741546,0.0,65.6904,-90.0
sh600189,吉林森工,17.65971199153865,2.6087,205.372,71.2766
sh600190,锦州港,-4.26426171693977,1.6949200000000002,86.1826,43.0275
sh600192,长城电工,-5.87108389193834,1.42643,203.945,-71.4405
sh600193,创兴资源,9.701858670317085,1.70068,367.386,78.9361
sh600195,中牧股份,-15.610048211340526,1.55993,208.84,-81.9319
sh600196,复星医药,-5.204677411713012,2.10131,109.178,55.9676
sh600197,伊力特,-3.8380759648692044,0.924609,114.138,-79.3614
sh600198,大唐电信,-5.2045233658264385,2.89914,287.174,-56.4058
sh600199,金种子酒,-9.187361537437065,0.166806,153.341,-89.1056
sh600200,江苏吴中,5.720478953677521,6.63532,306.179,48.677
sh600201,金宇集团,18.47694686471269,4.92469,155.533,67.3049
sh600202,哈空调,8.005428693545111,6.24473,227.118,18.032
sh600203,福日电子,0.3511377437438655,1.38504,319.932,34.2159
sh600206,有研新材,-2.0702424431044744,0.750577,167.709,75.505
sh600207,安彩高科,4.659743912418842,2.1739100000000002,214.83,63.0306
sh600208,新湖中宝,-9.804071150125393,0.487211,97.9929,-86.1331
sh600210,紫江企业,-1.8596204544386268,3.7313399999999994,471.135,-54.0086
