symbol,name,big in(%),small in(%),price(%),turnover,big/price
sz002294,信立泰,25.8,-6.3,10.0,322.743,2.58
sh603883,老百姓,117.2,9.7,45.37,4245.51,2.58
sz000793,华闻传媒,60.7,0.3,23.51,307.979,2.58
sz000950,建峰化工,33.4,-5.0,12.96,470.462,2.58
sh601999,出版传媒,20.5,8.8,7.96,198.533,2.58
sh600129,太极集团,67.0,1.1,26.06,549.758,2.57
sz002474,榕基软件,33.5,9.6,13.02,1368.63,2.57
sz002613,北玻股份,19.6,-0.8,7.65,669.869,2.56
sz002152,广电运通,40.1,1.0,15.77,181.171,2.54
sh600161,天坛生物,49.0,3.1,19.46,199.1,2.52
sz000040,宝安地产,58.3,2.7,23.15,312.982,2.52
sh600706,曲江文旅,41.2,8.2,16.37,210.354,2.52
sh600750,江中药业,49.4,-0.8,19.66,228.334,2.51
sh600467,好当家,41.8,8.3,16.65,237.611,2.51
sz000916,华北高速,18.6,11.6,7.4,814.32,2.51
sh601126,四方股份,28.1,10.3,11.23,156.43,2.5
sh600658,电子城,21.6,-9.1,8.63,121.982,2.5
sh601005,重庆钢铁,14.1,8.1,5.63,558.176,2.5
sz002387,黑牛食品,47.2,12.6,18.93,1006.09,2.49
sh600775,南京熊猫,41.6,6.9,16.76,198.28,2.48
sz000078,海王生物,72.8,12.0,29.38,519.218,2.48
sz002752,昇兴股份,123.7,46.8,50.04,1125.49,2.47
sh600688,上海石化,26.5,1.3,10.75,814.48,2.47
sz002273,水晶光电,44.6,4.6,18.15,855.985,2.46
sh600879,航天电子,19.9,2.3,8.08,520.826,2.46
sh601600,中国铝业,29.7,0.0,12.08,256.338,2.46
sz002113,天润控股,43.4,6.8,17.61,537.256,2.46
sh600998,九州通,44.0,11.4,17.96,109.156,2.45
sh600143,金发科技,43.0,3.3,17.62,231.929,2.44
sh603555,贵人鸟,16.3,12.6,6.71,377.835,2.43
sz002227,奥 特 迅,67.4,-0.7,28.12,313.83,2.4
sh600476,湘邮科技,30.9,1.4,12.87,502.59,2.4
sz002181,粤 传 媒,20.4,10.7,8.49,447.026,2.4
sh603898,好莱客,47.1,2.8,19.6,1421.23,2.4
sh600262,北方股份,34.8,8.2,14.57,107.522,2.39
sz002176,江特电机,33.3,0.4,13.95,539.437,2.39
sz002298,鑫龙电器,83.9,6.0,35.09,608.256,2.39
sz000590,*ST古汉,15.0,8.9,6.31,355.486,2.38
sh603799,华友钴业,60.4,1.3,25.37,546.048,2.38
sz000616,海航投资,41.8,5.8,17.61,745.05,2.37
sz000796,易食股份,84.5,13.5,35.68,1886.72,2.37
sz002022,科华生物,35.5,1.3,15.01,237.095,2.37
sz000709,河北钢铁,12.3,2.9,5.22,306.962,2.36
sz002339,积成电子,56.6,24.2,24.01,353.077,2.36
sz000584,友利控股,117.5,302.1,49.88,3.58333,2.36
sz002352,鼎泰新材,47.4,13.0,20.18,423.089,2.35
sz002192,*ST路翔,2.5,-1.4,1.07,270.373,2.34
sh600081,东风科技,50.4,2.3,21.54,231.696,2.34
sz002130,沃尔核材,70.0,5.8,29.9,501.602,2.34
sh600773,西藏城投,31.5,1.5,13.44,169.509,2.34
sz000028,国药一致,17.0,-8.9,7.32,92.685,2.32
sz000611,*ST蒙发,40.1,27.6,17.3,416.635,2.32
sh600052,浙江广厦,16.3,1.1,7.05,173.087,2.31
sh600744,华银电力,40.5,5.5,17.54,1608.04,2.31
sz002151,北斗星通,37.7,3.9,16.33,649.98,2.31
sz002448,中原内配,30.2,-0.5,13.12,602.909,2.3
sh603808,歌力思,40.0,1.9,17.39,1380.53,2.3
sh600882,华联矿业,12.7,-6.7,5.53,245.822,2.3
sz002247,帝龙新材,11.1,8.1,4.84,313.784,2.29
sh600228,昌九生化,20.6,-0.3,8.99,392.399,2.29
sh601880,大连港,28.3,12.0,12.36,164.33,2.29
sz002431,棕榈园林,25.7,15.1,11.3,213.961,2.27
sh600512,腾达建设,52.7,15.7,23.18,520.188,2.27
sh600272,开开实业,20.2,-14.7,8.95,230.398,2.26
sh600183,生益科技,28.4,-1.9,12.59,575.773,2.26
sz000587,金叶珠宝,64.7,10.5,28.67,815.017,2.26
sz000036,华联控股,65.4,7.9,28.93,283.82,2.26
sh601137,博威合金,40.9,-4.6,18.18,80.9614,2.25
sh600491,龙元建设,31.6,6.2,14.04,441.332,2.25
sh603315,福鞍股份,101.9,17.3,45.19,3873.28,2.25
sz002746,仙坛股份,64.8,40.3,28.74,2046.77,2.25
sz002295,精艺股份,49.2,-3.5,21.88,697.132,2.25
sh600278,东方创业,25.1,-4.3,11.17,98.453,2.25
sz002312,三泰控股,82.4,4.4,36.8,782.901,2.24
sh601988,中国银行,6.0,-0.1,2.69,37.6471,2.23
sh600477,杭萧钢构,48.2,9.4,21.7,235.497,2.22
sh603567,珍宝岛,56.6,2.2,25.44,1879.65,2.22
sh600133,东湖高新,31.6,-0.6,14.27,479.356,2.21
sz002091,江苏国泰,21.1,3.1,9.56,257.326,2.21
sh600373,中文传媒,40.0,-0.9,18.09,115.978,2.21
sz000948,南天信息,19.2,7.3,8.69,653.492,2.21
sh603519,立霸股份,64.1,13.0,29.2,1398.79,2.2
sh600318,巢东股份,61.9,15.4,28.17,488.908,2.2
sh600110,中科英华,43.5,3.8,19.74,593.465,2.2
sz000838,国兴地产,42.9,1.6,19.46,165.917,2.2
sz000002,万  科Ａ,15.8,-0.1,7.21,203.656,2.19
sh600684,珠江实业,23.8,1.6,10.87,291.977,2.19
sh600537,亿晶光电,17.2,7.5,7.89,283.351,2.18
sz002591,恒大高新,20.7,-3.3,9.53,271.893,2.17
sz002310,东方园林,19.7,-2.0,9.07,248.197,2.17
sh603899,晨光文具,37.7,-5.9,17.37,616.632,2.17
sz000586,汇源通信,52.0,3.2,23.99,484.257,2.17
sh600483,福能股份,19.3,2.4,8.88,550.449,2.17
sz002679,福建金森,35.0,1.6,16.16,693.106,2.17
sz002189,利达光电,28.7,6.4,13.23,279.356,2.17
sh600588,用友网络,31.8,0.1,14.79,659.782,2.15
sz000782,美达股份,62.3,23.6,29.02,438.984,2.15
sh600704,物产中大,55.3,3.3,25.72,360.027,2.15
sz002634,棒杰股份,28.1,-23.9,13.04,210.716,2.15
sh601669,中国电建,4.9,0.0,2.29,1515.32,2.14
sz000509,华塑控股,47.0,5.5,21.93,459.521,2.14
sh603128,华贸物流,35.6,2.1,16.64,304.432,2.14
sz002380,科远股份,86.5,19.9,40.34,1012.2,2.14
sz000016,深康佳Ａ,24.4,9.5,11.46,533.223,2.13
sz002614,蒙发利,41.5,10.0,19.44,290.303,2.13
sh601558,华锐风电,31.6,10.9,14.95,642.44,2.11
sh600060,海信电器,53.0,-1.9,25.29,219.325,2.1
sh600446,金证股份,29.8,3.3,14.26,235.71,2.09
sz002603,以岭药业,43.7,2.5,20.9,253.079,2.09
sz000610,西安旅游,36.1,5.9,17.37,265.982,2.08
sh601579,会稽山,26.9,-2.9,12.94,407.519,2.08
sh600643,爱建股份,33.1,3.4,15.93,304.506,2.08
sh603636,南威软件,49.8,14.4,23.93,1335.38,2.08
sh600478,科力远,58.2,8.3,28.11,177.658,2.07
sz002367,康力电梯,32.1,-1.8,15.62,393.52,2.06
sz002649,博彦科技,52.3,6.6,25.42,869.768,2.06
sh600160,巨化股份,20.8,8.7,10.11,146.687,2.06
sh600611,大众交通,41.4,3.3,20.27,322.364,2.04
sh600543,莫高股份,20.1,10.6,9.85,216.735,2.04
sz002731,萃华珠宝,28.1,3.9,13.78,440.964,2.04
sz002065,东华软件,18.0,0.9,8.84,573.925,2.04
sz002544,杰赛科技,31.2,1.7,15.36,468.313,2.03
sh600021,上海电力,53.4,2.5,26.34,357.327,2.03
sh600130,波导股份,37.6,7.6,18.55,307.159,2.03
sz002076,雪 莱 特,57.6,10.4,28.56,466.591,2.02
sz002437,誉衡药业,19.9,1.4,9.84,213.25,2.02
sh600101,明星电力,41.8,4.7,20.78,309.397,2.01
sh603369,今世缘,26.9,-11.4,13.38,513.121,2.01
sz002487,大金重工,43.7,7.1,21.76,1017.78,2.01
sh603328,依顿电子,46.1,4.1,22.95,557.85,2.01
sz000997,新 大 陆,32.2,6.2,16.05,392.877,2.01
sz000906,物产中拓,35.6,1.9,17.76,334.087,2.0
sh600626,申达股份,20.9,3.2,10.47,343.811,2.0
sz000566,海南海药,37.0,5.7,18.46,276.279,2.0
sz000973,佛塑科技,35.5,-2.6,17.81,753.989,1.99
sz002699,美盛文化,60.0,1.6,30.19,404.406,1.99
sz002546,新联电子,31.6,8.6,15.9,415.778,1.99
sz000930,中粮生化,16.1,3.1,8.09,921.549,1.99
sh600960,渤海活塞,27.5,14.4,13.82,170.263,1.99
sh603889,新澳股份,41.3,4.3,20.88,590.44,1.98
sz002149,西部材料,19.7,-15.7,9.96,180.699,1.98
sz000961,中南建设,40.2,4.8,20.26,91.6826,1.98
sz000753,漳州发展,47.2,5.9,23.84,390.606,1.98
sz000976,*ST春晖,16.5,7.7,8.38,168.159,1.97
sh600601,方正科技,31.9,2.4,16.2,573.039,1.97
sz002301,齐心集团,46.3,4.4,23.64,298.101,1.96
sz002124,天邦股份,35.5,2.7,18.11,262.069,1.96
sh600745,中茵股份,47.8,3.4,24.53,415.588,1.95
sz002318,久立特材,42.1,-1.9,21.62,159.279,1.95
sz002691,石中装备,33.9,10.3,17.49,3259.41,1.94
sh600884,杉杉股份,40.5,4.9,20.96,487.313,1.93
sz002742,三圣特材,21.8,1.3,11.31,867.387,1.93
sh600090,啤酒花,50.4,4.1,26.2,926.626,1.92
sh600498,烽火通信,28.9,-0.2,15.06,226.554,1.92
sz002087,新野纺织,39.4,11.8,20.54,187.289,1.92
sh603368,柳州医药,36.0,4.3,18.8,541.232,1.91
sz002484,江海股份,32.5,-8.1,17.04,119.864,1.91
sh600107,美尔雅,23.5,14.7,12.37,612.528,1.9
sh600386,北巴传媒,22.7,14.0,11.94,195.715,1.9
sz002551,尚荣医疗,28.6,-8.9,15.17,399.994,1.89
sz002429,兆驰股份,27.0,-11.5,14.32,145.921,1.89
sz002223,鱼跃医疗,35.0,6.5,18.59,677.022,1.88
sh600827,百联股份,19.9,-0.4,10.61,164.942,1.88
sz002592,八菱科技,44.7,12.5,23.93,863.239,1.87
sz002738,中矿资源,41.5,11.4,22.24,799.395,1.87
sh603611,诺力股份,30.7,0.9,16.38,1734.28,1.87
sh600388,龙净环保,28.5,0.6,15.3,374.195,1.86
sh600353,旭光股份,27.6,3.0,14.85,256.526,1.86
sh601106,中国一重,38.4,0.0,20.66,681.098,1.86
sz002627,宜昌交运,19.1,-14.1,10.29,285.637,1.86
sz002009,天奇股份,26.0,5.7,14.0,595.243,1.86
sh601000,唐山港,8.4,4.0,4.52,324.596,1.86
sh600815,厦工股份,39.6,5.6,21.32,283.768,1.86
sh603021,山东华鹏,72.2,16.2,38.84,5407.9,1.86
sz002504,东光微电,27.3,29.1,14.65,385.144,1.86
sz000887,中鼎股份,34.9,3.1,18.9,131.196,1.85
sz002331,皖通科技,32.1,7.5,17.38,1385.41,1.85
sz002396,星网锐捷,21.9,5.8,11.81,226.691,1.85
sh603588,高能环境,17.7,15.4,9.68,177.51,1.83
sz002129,中环股份,49.5,5.5,27.04,240.043,1.83
sh600680,上海普天,29.5,-6.8,16.08,303.345,1.83
sz002334,英威腾,36.9,16.0,20.14,384.177,1.83
sh600876,洛阳玻璃,38.9,14.8,21.22,171.763,1.83
sz002472,双环传动,24.6,28.1,13.43,161.167,1.83
sh603997,继峰股份,41.7,18.2,22.83,628.974,1.83
sz002675,东诚药业,55.2,11.4,30.25,553.663,1.82
sh600490,鹏欣资源,46.2,5.0,25.45,627.495,1.82
sh600865,百大集团,60.2,1.4,33.2,271.505,1.81
sz002018,华信国际,17.5,12.0,9.66,396.275,1.81
sh600212,江泉实业,34.7,-4.5,19.22,412.546,1.81
sh600794,保税科技,28.4,4.4,15.75,351.277,1.8
sh603969,银龙股份,44.9,3.2,24.94,719.307,1.8
sz000852,江钻股份,18.1,-6.6,10.11,372.323,1.79
sz002461,珠江啤酒,39.1,15.3,21.92,79.0159,1.78
sh603988,中电电机,32.4,12.9,18.2,690.971,1.78
sh600270,外运发展,21.3,0.0,11.94,162.0,1.78
sz002205,国统股份,27.0,-11.7,15.21,277.743,1.78
sz002434,万里扬,28.8,11.0,16.15,78.181,1.78
sh603309,维力医疗,22.4,1.7,12.69,1839.77,1.77
sz002651,利君股份,19.1,15.3,10.81,283.285,1.77
sh600978,宜华木业,24.3,1.3,13.71,476.918,1.77
sz001696,宗申动力,17.8,-6.2,10.13,445.855,1.76
sh603020,爱普股份,43.6,3.6,24.77,874.304,1.76
sz002451,摩恩电气,60.4,11.2,34.36,418.924,1.76
sz000552,靖远煤电,11.4,0.5,6.47,247.147,1.76
sz000931,中 关 村,27.6,10.3,15.72,1592.73,1.76
sz002424,贵州百灵,54.5,12.0,31.21,265.509,1.75
sz000935,四川双马,15.7,4.6,8.96,429.018,1.75
sz002664,信质电机,32.4,9.7,18.51,171.208,1.75
sz002723,金莱特,25.5,7.3,14.61,531.07,1.75
sz000750,国海证券,12.1,1.2,6.95,234.943,1.74
sz002329,皇氏集团,26.8,-1.2,15.4,358.698,1.74
