symbol,name,big in(%),small in(%),price(%),turnover,big/price
sh601169,北京银行,1.5,0.0,-1.31,262.0,9999
sh600048,保利地产,2.7,0.0,-1.57,298.195,9999
sh600305,恒顺醋业,16.3,2.5,-2.05,129.898,9999
sh600307,酒钢宏兴,32.4,3.3,-2.21,541.543,9999
sh601028,玉龙股份,4.4,3.8,-1.3,611.098,9999
sh601866,中海集运,12.1,0.3,0.15,332.416,80.67
sh601668,中国建筑,26.1,0.0,0.7,419.184,37.29
sh600410,华胜天成,13.7,1.9,0.4,1008.91,34.25
sh601288,农业银行,33.9,0.3,1.38,24.2588,24.57
sz000815,*ST美利,283.5,100.8,25.01,65.5332,11.34
sh600028,中国石化,10.8,0.0,1.01,62.3716,10.69
sz002657,中科金财,43.9,6.5,4.32,372.597,10.16
sh600050,中国联通,24.1,0.1,2.42,300.999,9.96
sh600733,S前锋,204.5,36.8,20.71,248.176,9.87
sh600571,信雅达,57.1,4.4,5.93,272.088,9.63
sh600030,中信证券,6.8,0.0,0.75,297.519,9.07
sz000409,山东地矿,6.5,17.0,0.78,332.319,8.33
sz002557,洽洽食品,95.1,14.4,11.74,177.762,8.1
sh600819,耀皮玻璃,26.3,-2.9,3.26,159.655,8.07
sh601989,中国重工,14.3,0.0,1.8,460.886,7.94
sz002095,生 意 宝,254.4,48.8,32.4,219.318,7.85
sz000557,*ST广夏,72.7,31.8,9.66,493.772,7.53
sh601336,新华保险,24.0,0.4,3.35,345.671,7.16
sz002421,达实智能,356.9,72.9,50.05,8.19374,7.13
sh600802,福建水泥,101.5,3.5,14.76,318.887,6.88
sz002625,龙生股份,275.9,30.0,40.41,82.8857,6.83
sh601001,大同煤业,18.4,5.6,2.72,153.684,6.76
sz002457,青龙管业,53.4,-1.8,7.92,492.476,6.74
sh600703,三安光电,56.8,-0.3,8.47,369.617,6.71
sz002661,克明面业,46.4,-6.8,6.92,178.571,6.71
sz002646,青青稞酒,31.7,-3.2,4.76,163.3,6.66
sh601818,光大银行,31.4,-0.5,4.77,97.7399,6.58
sz002030,达安基因,30.4,2.8,4.67,611.515,6.51
sz002195,二三四五,53.3,7.7,8.28,1984.15,6.44
sh600665,天地源,21.4,4.9,3.36,1093.83,6.37
sz002284,亚太股份,107.1,56.9,17.11,132.177,6.26
sz002589,瑞康医药,28.2,1.3,4.51,192.321,6.25
sz002475,立讯精密,20.5,-5.9,3.46,59.6686,5.92
sz002555,顺荣三七,294.7,57.9,50.0,6.62258,5.89
sz002480,新筑股份,1.4,-4.3,0.24,449.95,5.83
sz002131,利欧股份,284.2,105.3,50.0,1.30035,5.68
sz000656,金科股份,60.3,5.7,10.69,846.7,5.64
sz002326,永太科技,33.0,5.3,5.86,1236.29,5.63
sz000800,一汽轿车,21.5,1.7,3.84,593.277,5.6
sh601919,中国远洋,4.7,0.1,0.85,372.889,5.53
sh600763,通策医疗,55.9,-0.8,10.12,72.2952,5.52
sh600724,宁波富达,44.1,2.8,8.01,331.051,5.51
sz002153,石基信息,17.8,0.4,3.29,222.838,5.41
sz002566,益盛药业,34.7,1.6,6.5,300.822,5.34
sh601003,柳钢股份,51.7,-5.8,9.94,60.3236,5.2
sz002374,丽鹏股份,45.9,-11.8,9.2,385.667,4.99
sz002360,同德化工,45.7,-8.1,9.43,261.365,4.85
sz002037,久联发展,12.6,13.2,2.6,352.123,4.85
sz002491,通鼎互联,242.5,21.2,50.0,1299.11,4.85
sz000530,大冷股份,39.1,4.7,8.16,679.647,4.79
sz000768,中航飞机,6.3,2.7,1.32,213.391,4.77
sh600536,中国软件,10.1,1.8,2.12,861.574,4.76
sz002103,广博股份,46.6,13.7,9.82,425.264,4.75
sz002035,华帝股份,36.9,2.9,7.85,219.137,4.7
sz002442,龙星化工,172.3,31.0,37.07,677.2,4.65
sz000501,鄂武商Ａ,20.3,-6.5,4.39,86.4236,4.62
sh601618,中国中冶,8.2,0.0,1.81,367.05,4.53
sz002412,汉森制药,80.2,10.6,18.04,167.323,4.45
sz000607,华媒控股,16.4,5.6,3.7,1090.9,4.43
sz000755,山西三维,118.9,16.8,27.05,1279.4,4.4
sh600795,国电电力,30.9,0.0,7.04,717.886,4.39
sz002376,新北洋,193.8,110.0,45.03,6.2746,4.3
sh600503,华丽家族,210.4,181.4,50.13,4.22994,4.2
sz000156,华数传媒,111.2,18.5,26.7,748.487,4.16
sz000633,合金投资,145.1,28.9,34.94,479.303,4.15
sz002488,金固股份,161.7,23.8,39.34,305.597,4.11
sh600010,包钢股份,52.1,0.5,12.75,320.062,4.09
sz000725,京东方Ａ,26.2,0.5,6.5,419.704,4.03
sh601010,文峰股份,82.7,2.9,20.6,442.37,4.01
sz002044,江苏三友,130.0,6.5,32.68,1157.06,3.98
sh600119,长江投资,75.1,15.4,18.91,536.024,3.97
sz000979,中弘股份,51.0,5.6,12.87,250.278,3.96
sh603789,星光农机,197.9,24.4,50.01,2485.61,3.96
sh600570,恒生电子,40.2,0.7,10.27,447.997,3.91
sz002517,泰亚股份,116.5,10.4,29.77,738.83,3.91
sz000898,鞍钢股份,54.2,8.9,13.93,94.9818,3.89
sz000802,北京文化,27.2,4.9,7.12,419.119,3.82
sh600754,锦江股份,62.0,13.5,16.38,69.132,3.79
sz000681,视觉中国,167.7,15.0,44.51,625.953,3.77
sh600595,中孚实业,55.1,0.7,14.65,215.059,3.76
sh600746,江苏索普,43.1,1.5,11.56,197.433,3.73
sz002285,世联行,70.0,8.9,18.95,370.66,3.69
sz000861,海印股份,26.6,-1.1,7.22,201.293,3.68
sz002393,力生制药,41.4,7.0,11.27,168.034,3.67
sz002197,证通电子,156.1,12.9,42.63,709.717,3.66
sh600749,西藏旅游,43.7,17.0,12.0,445.219,3.64
sh600336,澳柯玛,50.1,17.6,13.75,225.228,3.64
sh603000,人民网,45.7,-1.2,12.65,223.253,3.61
sh600380,健康元,38.7,2.2,10.79,341.577,3.59
sh600282,南钢股份,21.4,7.0,5.98,177.102,3.58
sh603005,晶方科技,59.4,12.4,16.63,201.357,3.57
sh600420,现代制药,59.5,0.0,16.8,197.415,3.54
sz002315,焦点科技,92.3,14.0,26.23,580.716,3.52
sz000100,TCL 集团,55.7,3.3,15.81,593.591,3.52
sz002098,浔兴股份,100.6,-10.5,28.57,209.349,3.52
sz002384,东山精密,34.5,-12.1,9.86,108.546,3.5
sh600730,中国高科,104.0,19.6,29.81,806.051,3.49
sh600023,浙能电力,17.5,3.3,5.05,1087.65,3.47
sh600295,鄂尔多斯,21.7,-6.6,6.26,145.654,3.47
sz002016,世荣兆业,25.5,-10.5,7.38,134.044,3.46
sz002711,欧浦钢网,73.7,5.4,21.4,1753.11,3.44
sh600836,界龙实业,87.9,5.2,25.64,315.572,3.43
sz002325,洪涛股份,108.9,9.0,31.86,1083.06,3.42
sh600781,辅仁药业,44.5,3.4,13.0,163.259,3.42
sz002640,百圆裤业,90.9,35.3,26.61,68.415,3.42
sh600326,西藏天路,56.2,10.1,16.52,485.113,3.4
sz002536,西泵股份,31.0,-9.8,9.17,443.823,3.38
sh600109,国金证券,47.4,-0.1,14.07,334.41,3.37
sh600624,复旦复华,51.7,6.2,15.44,1557.55,3.35
sh600816,安信信托,31.3,1.3,9.35,190.832,3.35
sh600423,柳化股份,82.0,18.4,24.48,187.844,3.35
sz002013,中航机电,37.0,-9.4,11.06,308.828,3.35
sh600841,上柴股份,33.7,1.3,10.17,159.555,3.31
sh603939,益丰药房,76.2,3.2,23.04,521.592,3.31
sz000420,吉林化纤,37.7,-1.5,11.41,292.31,3.3
sh601313,江南嘉捷,36.6,-1.5,11.09,230.014,3.3
sz000752,西藏发展,42.5,11.8,12.91,653.23,3.29
sh600857,工大首创,57.0,14.7,17.33,218.704,3.29
sh600171,上海贝岭,96.4,11.7,29.33,235.036,3.29
sz002024,苏宁云商,93.0,2.2,28.32,1233.49,3.28
sz002639,雪人股份,48.8,45.3,14.98,168.884,3.26
sz000971,蓝鼎控股,132.0,24.7,40.67,614.585,3.25
sh600771,广誉远,64.2,0.8,19.81,209.475,3.24
sh600673,DR东阳光,24.1,2.4,7.46,457.36,3.23
sz002681,奋达科技,19.3,14.5,5.97,813.18,3.23
sh600306,商业城,87.6,12.7,27.41,719.028,3.2
sz002179,中航光电,23.9,8.7,7.46,217.79,3.2
sz002405,四维图新,79.3,7.0,24.87,724.971,3.19
sh600189,吉林森工,37.1,0.0,11.73,235.748,3.16
sz000061,农 产 品,68.2,8.3,21.77,330.483,3.13
sh600328,兰太实业,59.8,5.4,19.17,285.157,3.12
sz000727,华东科技,41.6,18.3,13.38,183.085,3.11
sh600391,成发科技,36.6,5.2,11.8,440.13,3.1
sz002574,明牌珠宝,30.7,7.4,9.91,196.469,3.1
sh601727,上海电气,67.6,0.3,21.88,213.054,3.09
sz002354,天神娱乐,73.2,15.4,23.68,294.768,3.09
sh601113,华鼎股份,31.3,-10.8,10.18,188.703,3.07
sz000978,桂林旅游,18.0,-17.2,5.86,208.263,3.07
sz000593,大通燃气,96.7,40.1,31.46,922.413,3.07
sz000605,渤海股份,38.3,-12.4,12.51,218.769,3.06
sh600419,天润乳业,48.1,15.0,15.72,215.025,3.06
sh600108,亚盛集团,43.9,1.5,14.35,438.375,3.06
sh600345,长江通信,64.7,10.5,21.11,239.681,3.06
sh600563,法拉电子,21.4,2.4,7.07,265.706,3.03
sh600743,华远地产,43.6,4.5,14.46,105.195,3.02
sz000158,常山股份,130.9,28.8,43.54,424.698,3.01
sz000629,攀钢钒钛,33.5,11.0,11.14,396.958,3.01
sz002650,加加食品,51.3,-0.2,17.07,150.262,3.01
sh603609,禾丰牧业,59.8,2.2,20.08,649.786,2.98
sh600203,福日电子,31.2,3.5,10.49,389.021,2.97
sz002023,海特高新,29.9,8.0,10.13,610.346,2.95
sh600711,盛屯矿业,57.4,4.2,19.44,585.906,2.95
sh600818,中路股份,100.9,10.8,34.24,274.995,2.95
sz002702,海欣食品,95.0,17.2,32.3,460.966,2.94
sz002466,天齐锂业,23.1,11.2,7.85,311.727,2.94
sh600012,皖通高速,27.1,3.5,9.24,164.667,2.93
sz002207,准油股份,78.5,0.1,26.82,695.467,2.93
sz000885,同力水泥,17.8,-11.8,6.07,33.7479,2.93
sz000014,沙河股份,40.9,-7.4,13.95,177.76,2.93
sz002276,万马股份,119.3,8.1,40.81,474.186,2.92
sz000987,广州友谊,51.3,17.7,17.55,261.662,2.92
sz000819,岳阳兴长,60.0,11.0,20.62,383.791,2.91
sz002303,美盈森,97.7,18.0,33.53,253.651,2.91
sz000721,西安饮食,52.2,10.6,17.92,284.156,2.91
sh600193,创兴资源,45.4,0.4,15.61,473.587,2.91
sh600727,鲁北化工,68.6,8.1,23.67,407.098,2.9
sz002194,武汉凡谷,67.5,12.9,23.31,187.906,2.9
sz002183,怡 亚 通,83.8,5.2,28.88,468.865,2.9
sh600678,四川金顶,91.4,11.7,31.47,341.517,2.9
sz002241,歌尔声学,15.4,-1.1,5.33,311.196,2.89
sz000780,平庄能源,19.6,12.5,6.79,164.204,2.89
sh600481,双良节能,49.6,8.1,17.21,294.104,2.88
sz002652,扬子新材,84.5,23.9,29.32,245.789,2.88
sz002041,登海种业,33.1,0.1,11.54,138.632,2.87
sz002011,盾安环境,32.6,5.1,11.4,273.898,2.86
sh600005,武钢股份,14.9,1.3,5.22,259.279,2.85
sh600804,鹏博士,73.5,1.6,25.75,543.898,2.85
sz000998,隆平高科,44.7,7.8,15.71,214.877,2.85
sh600026,中海发展,10.7,3.1,3.75,382.954,2.85
sh603703,盛洋科技,134.5,27.4,47.4,4394.09,2.84
sh600846,同济科技,50.4,5.9,17.77,587.481,2.84
sz000917,电广传媒,33.3,0.4,11.74,640.921,2.84
sz000023,深天地Ａ,24.0,7.7,8.45,456.042,2.84
sh600084,中葡股份,29.3,-0.7,10.33,129.231,2.84
sh600146,大元股份,25.1,12.1,8.86,213.138,2.83
sz002262,恩华药业,33.6,-10.7,11.88,138.427,2.83
sh600898,三联商社,112.1,14.3,39.82,295.808,2.82
sz002740,爱迪尔,45.7,4.2,16.34,1308.43,2.8
sz000733,振华科技,26.6,4.0,9.53,299.919,2.79
sz002253,川大智胜,31.8,8.7,11.38,745.321,2.79
sh600138,中青旅,20.5,4.2,7.36,307.907,2.79
sh603003,龙宇燃油,31.5,-3.7,11.34,686.851,2.78
sh600671,天目药业,13.9,13.3,5.0,201.601,2.78
sh600022,山东钢铁,19.2,14.7,6.96,137.365,2.76
sz002620,瑞和股份,37.4,-8.3,13.57,503.359,2.76
sz002261,拓维信息,73.4,6.1,26.57,1200.15,2.76
sz002644,佛慈制药,81.5,29.4,29.49,223.847,2.76
sh603366,日出东方,31.9,10.6,11.54,461.324,2.76
sz002088,鲁阳股份,15.4,4.8,5.61,801.641,2.75
sz000615,湖北金环,16.4,2.7,5.98,421.26,2.74
sz000711,*ST京蓝,53.8,22.4,19.64,357.67,2.74
sh600017,日照港,18.7,6.6,6.84,230.81,2.73
sh600020,中原高速,56.2,20.0,20.73,242.403,2.71
sh600651,飞乐音响,22.2,5.5,8.22,247.95,2.7
sh600652,游久游戏,85.7,8.1,31.81,543.792,2.69
sz000410,沈阳机床,35.9,3.2,13.34,1087.54,2.69
sz002117,东港股份,26.5,-4.4,9.89,365.041,2.68
sz000859,国风塑业,18.5,16.9,6.91,444.177,2.68
sh600499,科达洁能,24.6,5.0,9.17,219.111,2.68
sz002743,富煌钢构,98.4,20.0,36.71,800.47,2.68
sz002467,二六三,102.9,17.8,38.45,473.074,2.68
sh600248,延长化建,16.7,-8.2,6.25,127.548,2.67
sz002084,海鸥卫浴,41.9,-28.0,15.81,321.084,2.65
sh603818,曲美股份,64.4,8.9,24.3,2867.53,2.65
sz002541,鸿路钢构,13.3,0.9,5.04,404.908,2.64
sh600650,锦江投资,50.8,-1.2,19.22,141.031,2.64
sz002584,西陇化工,120.4,12.2,45.83,687.663,2.63
sh600186,莲花味精,68.8,7.5,26.14,268.717,2.63
sz002456,欧菲光,36.6,3.1,13.93,1253.2,2.63
sz002125,湘潭电化,68.3,13.6,25.97,868.528,2.63
sh601608,中信重工,131.8,289.3,50.05,3.25441,2.63
sh600093,禾嘉股份,52.4,4.2,20.1,339.262,2.61
sz002184,海得控制,75.6,15.6,28.92,603.899,2.61
sz000419,通程控股,74.9,24.4,28.72,377.071,2.61
sz002335,科华恒盛,61.8,25.1,23.7,197.973,2.61
sh600845,宝信软件,26.5,1.1,10.2,154.055,2.6
sh600835,上海机电,15.1,1.3,5.83,283.085,2.59
sz002162,斯米克,52.9,29.1,20.39,199.091,2.59
