symbol,name,big in(%),small in(%),price(%),turnover,big/price
sz000887,中鼎股份,10.1,1.4,-2.32,145.83,9999
sh600578,京能电力,4.5,0.8,-3.76,299.561,9999
sh600741,华域汽车,1.6,1.5,-3.89,135.755,9999
sh600560,金自天正,4.8,0.2,-6.45,962.056,9999
sz002299,圣农发展,7.5,4.4,-0.06,74.3269,9999
sz000014,沙河股份,11.6,-6.4,-1.36,186.491,9999
sh600074,保千里,4.5,0.9,-2.35,657.852,9999
sz002146,荣盛发展,2.9,0.7,-0.64,146.775,9999
sh601231,环旭电子,5.0,0.0,-1.17,97.3327,9999
sh600728,佳都科技,0.6,1.0,-0.83,477.504,9999
sz000868,安凯客车,2.3,3.8,-0.79,625.624,9999
sz002588,史丹利,7.8,0.5,-3.19,254.956,9999
sh600593,大连圣亚,16.2,-6.5,-2.22,237.098,9999
sz000983,西山煤电,0.8,-1.2,-2.7,201.49,9999
sh600004,白云机场,7.6,-0.7,-0.78,96.432,9999
sh600863,内蒙华电,2.0,1.4,-3.82,266.7,9999
sz002184,海得控制,2.1,2.0,-2.49,724.312,9999
sh600093,禾嘉股份,1.6,0.7,-3.24,438.295,9999
sz002030,达安基因,2.2,-1.3,-1.65,383.143,9999
sz002318,久立特材,12.2,-0.8,-1.85,251.201,9999
sh600490,鹏欣资源,0.2,0.2,-3.53,970.901,9999
sz000157,中联重科,4.2,-0.1,-0.13,339.42,9999
sh601668,中国建筑,4.5,0.0,-2.56,221.248,9999
sz002129,中环股份,6.1,1.0,-0.85,238.523,9999
sz002693,双成药业,2.8,-1.4,-2.89,557.642,9999
sz002560,通达股份,1.6,-3.1,-1.83,536.605,9999
sh600606,金丰投资,2.6,1.1,-2.29,484.835,9999
sh601012,隆基股份,2.2,0.7,-5.88,603.006,9999
sh600679,金山开发,4.9,-4.3,-2.65,253.598,9999
sz000572,海马汽车,1.1,2.4,-3.02,206.684,9999
sh600613,神奇制药,4.4,-3.1,-0.3,422.274,9999
sh600462,石岘纸业,1.1,-0.2,-1.06,240.007,9999
sz000426,兴业矿业,6.8,-0.1,-2.05,452.413,9999
sh600652,游久游戏,5.0,0.3,-0.32,1666.0,9999
sh600018,上港集团,5.2,1.3,-2.72,47.0047,9999
sh600206,有研新材,0.1,-0.3,-1.55,398.089,9999
sh600770,综艺股份,0.1,0.3,0.0,384.129,9999
sh600750,江中药业,17.1,1.2,-1.91,187.878,9999
sh600143,金发科技,0.2,0.4,-3.82,365.97,9999
sz002209,达 意 隆,0.3,-3.6,-0.26,683.176,9999
sz000100,TCL 集团,10.8,0.4,-4.26,1254.77,9999
