symbol,name,big in(%),small in(%),price(%),big/price,turnover
sz002098,浔兴股份,28.5,-13.9,8.58,209.349,3.32
sh600005,武钢股份,26.6,1.3,8.04,259.279,3.31
sh603789,星光农机,99.1,17.7,30.01,2485.61,3.3
sz002584,西陇化工,90.3,7.1,27.52,687.663,3.28
sz002691,石中装备,40.4,10.5,12.35,3259.41,3.27
sz002022,科华生物,34.1,1.8,10.53,237.095,3.24
sz002384,东山精密,33.2,-7.2,10.24,108.546,3.24
sh601717,郑煤机,14.1,8.5,4.37,176.277,3.23
sz002652,扬子新材,68.4,18.5,21.18,245.789,3.23
sh603939,益丰药房,52.9,4.9,16.39,521.592,3.23
sz002285,世联行,64.5,7.5,20.05,370.66,3.22
sh600763,通策医疗,44.5,-4.6,13.88,72.2952,3.21
sz000971,蓝鼎控股,90.6,17.4,28.41,614.585,3.19
sh600119,长江投资,40.7,11.2,12.85,536.024,3.17
sz002024,苏宁云商,76.1,2.2,24.03,1233.49,3.17
sh601126,四方股份,37.5,10.4,11.92,156.43,3.15
sz000158,常山股份,94.6,24.1,30.01,424.698,3.15
sh600282,南钢股份,19.3,4.6,6.15,177.102,3.14
sz002207,准油股份,53.3,3.0,16.99,695.467,3.14
sz000014,沙河股份,49.9,-6.4,15.96,177.76,3.13
sh600746,江苏索普,24.7,1.5,7.89,197.433,3.13
sh600197,伊力特,17.2,-0.0,5.52,168.683,3.12
sz002303,美盈森,84.7,16.6,27.27,253.651,3.11
sh600845,宝信软件,33.9,4.7,10.92,154.055,3.1
sh600727,鲁北化工,54.0,8.8,17.53,407.098,3.08
sz000016,深康佳Ａ,42.2,5.9,13.68,533.223,3.08
sz000628,高新发展,35.0,5.2,11.41,1022.95,3.07
sh603609,禾丰牧业,52.0,0.2,17.06,649.786,3.05
sz002434,万里扬,51.0,15.4,16.97,78.181,3.01
sh600812,华北制药,18.3,1.2,6.12,221.26,2.99
sh600161,天坛生物,46.3,1.1,15.5,199.1,2.99
sh603005,晶方科技,29.4,4.9,9.85,201.357,2.98
sh600189,吉林森工,22.4,-2.1,7.52,235.748,2.98
sh600595,中孚实业,24.3,0.6,8.15,215.059,2.98
sh603366,日出东方,32.9,8.3,11.08,461.324,2.97
sh601003,柳钢股份,30.7,5.3,10.33,60.3236,2.97
sz002335,科华恒盛,67.2,22.2,22.68,197.973,2.96
sz000419,通程控股,56.8,20.4,19.19,377.071,2.96
sh600836,界龙实业,46.9,-0.1,15.86,315.572,2.96
sz000782,美达股份,54.9,14.0,18.82,438.984,2.92
sz000538,云南白药,12.8,-0.1,4.38,117.182,2.92
sz000061,农 产 品,67.3,5.5,23.16,330.483,2.91
sh600336,澳柯玛,27.4,18.6,9.42,225.228,2.91
sz002644,佛慈制药,71.8,18.3,24.8,223.847,2.9
sh601010,文峰股份,33.0,0.3,11.39,442.37,2.9
sz002639,雪人股份,17.3,25.6,5.96,168.884,2.9
sh600081,东风科技,51.6,2.3,17.77,231.696,2.9
sz002176,江特电机,50.0,3.3,17.3,539.437,2.89
sz002181,粤 传 媒,23.2,8.7,8.06,447.026,2.88
sh601727,上海电气,62.2,0.3,21.64,213.054,2.87
sh600380,健康元,31.3,1.9,10.91,341.577,2.87
sz002544,杰赛科技,51.6,3.0,18.01,468.313,2.87
sh600900,长江电力,13.9,1.4,4.86,109.447,2.86
sh601113,华鼎股份,30.6,-11.9,10.72,188.703,2.85
sh600476,湘邮科技,40.1,0.5,14.1,502.59,2.84
sh600543,莫高股份,11.6,8.9,4.1,216.735,2.83
sh600651,飞乐音响,17.3,4.1,6.13,247.95,2.82
sz000036,华联控股,50.0,12.9,17.72,283.82,2.82
sz002195,二三四五,48.2,6.4,17.13,1984.15,2.81
sz000420,吉林化纤,21.5,-3.5,7.68,292.31,2.8
sh601137,博威合金,24.2,-2.9,8.63,80.9614,2.8
sz002183,怡 亚 通,52.5,3.2,18.85,468.865,2.79
sz002179,中航光电,32.1,6.2,11.49,217.79,2.79
sz002396,星网锐捷,26.0,2.5,9.33,226.691,2.79
sz002325,洪涛股份,62.0,4.3,22.31,1083.06,2.78
sz002023,海特高新,39.1,3.7,14.11,610.346,2.77
sz002467,二六三,66.7,14.5,24.06,473.074,2.77
sh600826,兰生股份,23.0,6.4,8.31,141.877,2.77
sz002627,宜昌交运,31.2,-5.9,11.31,285.637,2.76
sh600594,益佰制药,42.7,0.8,15.49,443.53,2.76
sz002431,棕榈园林,25.6,2.8,9.39,213.961,2.73
