symbol,name,big in(%),small in(%),price(%),big/price,turnover
sz002102,冠福股份,17.0,5.3,10.51,400.373,1.62
sh600201,金宇集团,25.4,-1.6,15.67,110.44,1.62
sh600758,红阳能源,16.9,0.3,10.41,361.399,1.62
sh600084,中葡股份,13.4,2.3,8.32,129.231,1.61
sz002458,益生股份,10.5,3.4,6.52,245.781,1.61
sz002556,辉隆股份,22.8,0.4,14.13,725.161,1.61
sz000968,煤 气 化,9.0,5.4,5.59,270.579,1.61
sz000709,河北钢铁,10.9,1.9,6.77,306.962,1.61
sz000040,宝安地产,11.3,-6.6,7.06,312.982,1.6
sz000608,阳光股份,24.0,0.6,15.02,264.227,1.6
sz002047,宝鹰股份,40.9,7.5,25.69,522.662,1.59
sz002424,贵州百灵,41.9,8.8,26.4,265.509,1.59
sh600517,置信电气,12.5,7.0,7.93,160.673,1.58
sz002613,北玻股份,8.5,0.3,5.37,669.869,1.58
sz000835,长城动漫,33.4,11.1,21.15,1709.86,1.58
sh600233,大杨创世,27.1,4.2,17.18,610.964,1.58
sz002318,久立特材,17.9,-4.2,11.42,159.279,1.57
sh600365,通葡股份,27.0,-0.2,17.22,703.138,1.57
sh600775,南京熊猫,13.2,2.0,8.39,198.28,1.57
sh601333,广深铁路,11.4,0.6,7.28,248.875,1.57
sz002373,千方科技,22.2,-7.1,14.12,556.751,1.57
sh600635,大众公用,18.6,0.7,11.93,717.392,1.56
sz002685,华东重机,31.4,7.3,20.13,822.122,1.56
sz002689,博林特,13.0,-2.3,8.32,792.173,1.56
sz002495,佳隆股份,18.3,-1.1,11.76,354.863,1.56
sh600654,中安消,25.3,2.0,16.31,379.581,1.55
sz002638,勤上光电,36.0,1.9,23.18,954.165,1.55
sz000821,京山轻机,15.8,1.9,10.17,501.545,1.55
sz002279,久其软件,17.5,3.4,11.31,429.459,1.55
sh601016,节能风电,15.5,0.7,10.02,1240.49,1.55
sz002289,宇顺电子,29.0,-4.1,18.81,988.954,1.54
sz002651,利君股份,26.0,7.6,16.85,283.285,1.54
sz002604,龙力生物,15.1,-0.4,9.88,431.41,1.53
sh600520,中发科技,27.9,-1.3,18.21,501.808,1.53
sh600879,航天电子,12.7,1.8,8.28,520.826,1.53
sz002297,博云新材,7.0,2.6,4.62,382.457,1.52
sz000428,华天酒店,27.2,-2.9,17.86,182.505,1.52
sh600750,江中药业,31.0,-0.6,20.38,228.334,1.52
sh600560,金自天正,11.4,0.2,7.49,539.32,1.52
sz000718,苏宁环球,11.7,7.9,7.73,194.748,1.51
sz002363,隆基机械,12.6,-1.4,8.35,1014.47,1.51
sh600343,航天动力,14.2,3.1,9.38,301.424,1.51
sz002472,双环传动,19.5,23.0,12.89,161.167,1.51
sz002455,百川股份,12.8,10.0,8.47,369.114,1.51
sz000020,深华发Ａ,25.2,-2.9,16.65,820.535,1.51
sh603338,浙江鼎力,28.0,2.1,18.72,865.692,1.5
sh601718,际华集团,16.0,1.0,10.64,204.668,1.5
sh600478,科力远,19.5,1.3,13.04,177.658,1.5
sz000611,*ST蒙发,16.9,23.2,11.3,416.635,1.5
sh600388,龙净环保,12.3,0.3,8.22,374.195,1.5
sz000980,金马股份,18.2,1.2,12.1,413.672,1.5
sz002189,利达光电,26.4,2.8,17.73,279.356,1.49
sh600562,国睿科技,14.0,3.9,9.45,379.5,1.48
sz000017,深中华A,17.6,-2.9,11.87,486.906,1.48
sh601117,中国化学,9.5,-0.1,6.44,309.598,1.48
sh600107,美尔雅,15.5,9.3,10.48,612.528,1.48
sh600260,凯乐科技,32.4,4.4,22.03,862.723,1.47
sh600603,大洲兴业,18.6,2.8,12.69,366.534,1.47
sh600329,中新药业,9.0,4.6,6.11,163.039,1.47
sh601106,中国一重,28.4,0.0,19.48,681.098,1.46
sz002402,和而泰,34.3,10.4,23.53,335.954,1.46
sh600687,刚泰控股,28.6,-1.5,19.6,510.358,1.46
sz000788,北大医药,15.2,-3.1,10.43,253.902,1.46
sh600228,昌九生化,6.7,-0.8,4.62,392.399,1.45
sz002380,科远股份,29.5,0.3,20.33,1012.2,1.45
sh600978,宜华木业,19.7,0.3,13.58,476.918,1.45
sz002679,福建金森,15.9,-3.7,11.0,693.106,1.45
sz002017,东信和平,22.1,6.3,15.2,858.887,1.45
sh600895,张江高科,16.9,0.3,11.74,185.696,1.44
sh600483,福能股份,16.8,1.5,11.74,550.449,1.43
sz002386,天原集团,13.5,12.7,9.47,75.1054,1.43
sz002245,澳洋顺昌,18.7,3.5,13.19,290.809,1.42
sz002484,江海股份,10.1,-6.2,7.12,119.864,1.42
sz002486,嘉麟杰,12.8,1.4,9.03,356.782,1.42
sh600361,华联综超,11.3,3.2,7.93,212.138,1.42
sz002079,苏州固锝,29.8,4.6,20.93,551.611,1.42
sh600838,上海九百,16.3,5.3,11.6,262.371,1.41
sh600814,杭州解百,13.0,-1.3,9.24,241.256,1.41
sh600816,安信信托,7.9,-0.1,5.61,190.832,1.41
sz000882,华联股份,15.2,9.4,10.81,557.137,1.41
sh600448,华纺股份,15.8,14.4,11.28,326.11,1.4
sh601177,杭齿前进,17.1,6.7,12.23,269.288,1.4
sh600421,仰帆控股,6.3,5.3,4.5,138.943,1.4
sh600333,长春燃气,19.0,-1.2,13.6,302.349,1.4
sh601799,星宇股份,23.5,4.6,16.84,239.013,1.4
sh601599,鹿港科技,14.3,3.2,10.31,204.057,1.39
sh600203,福日电子,8.2,5.9,5.92,389.021,1.39
sz000860,顺鑫农业,6.9,1.7,4.96,191.536,1.39
sh600490,鹏欣资源,27.2,4.8,19.62,627.495,1.39
sz000752,西藏发展,8.2,0.2,5.96,653.23,1.38
sz002075,沙钢股份,22.1,4.9,15.99,103.309,1.38
sh600498,烽火通信,13.3,-1.2,9.62,226.554,1.38
sh600400,红豆股份,15.9,5.4,11.5,310.572,1.38
sz002004,华邦颖泰,12.8,2.2,9.31,409.558,1.37
sz000930,中粮生化,12.3,2.6,9.01,921.549,1.37
sh603988,中电电机,10.6,6.3,7.78,690.971,1.36
sh600820,隧道股份,12.9,1.3,9.52,326.388,1.36
sh603222,济民制药,15.7,2.4,11.57,1152.02,1.36
sh600372,中航电子,9.9,-0.6,7.29,126.283,1.36
sh600789,鲁抗医药,25.1,0.9,18.58,559.535,1.35
sz002411,九九久,14.8,3.5,11.0,2351.04,1.35
sh601018,宁波港,12.0,1.1,8.88,169.835,1.35
sz002731,萃华珠宝,10.6,4.3,7.9,440.964,1.34
sh600095,哈高科,17.6,0.1,13.12,425.448,1.34
sh600139,西部资源,23.8,0.8,17.74,176.919,1.34
sz002053,云南盐化,6.9,-1.7,5.15,231.242,1.34
sh600876,洛阳玻璃,8.7,-1.8,6.54,171.763,1.33
sz000663,永安林业,22.9,-6.2,17.17,444.689,1.33
sh601311,骆驼股份,17.7,2.5,13.3,154.692,1.33
sh600737,中粮屯河,15.1,1.1,11.38,450.843,1.33
sz000070,特发信息,22.2,12.3,16.68,355.837,1.33
sh601901,方正证券,7.0,0.4,5.32,201.329,1.32
sh600711,盛屯矿业,14.9,0.0,11.3,585.906,1.32
sz002529,海源机械,28.0,6.4,21.14,1098.93,1.32
sz000661,长春高新,10.0,6.8,7.65,261.686,1.31
sh600612,老凤祥,10.7,2.6,8.24,56.8343,1.3
sh600439,瑞贝卡,17.9,2.4,13.76,260.968,1.3
sz002690,美亚光电,14.0,2.5,10.79,153.797,1.3
sh601880,大连港,15.3,10.9,11.73,164.33,1.3
sz002673,西部证券,7.1,1.0,5.45,372.531,1.3
sh600238,海南椰岛,18.7,6.5,14.38,234.644,1.3
sz002559,亚威股份,21.5,7.4,16.68,570.28,1.29
sh600891,秋林集团,15.8,1.2,12.26,274.707,1.29
sz002310,东方园林,10.9,-3.4,8.47,248.197,1.29
sh600576,万好万家,26.0,2.2,20.13,503.626,1.29
sh600212,江泉实业,19.9,-1.3,15.39,412.546,1.29
sz002576,通达动力,25.2,6.8,19.61,237.688,1.29
sz002654,万润科技,24.1,4.0,18.88,562.667,1.28
sh600864,哈投股份,12.6,-1.5,9.86,298.576,1.28
sz002120,新海股份,19.9,-0.5,15.59,430.175,1.28
sz002218,拓日新能,17.9,-2.2,14.06,193.124,1.27
sz000566,海南海药,21.1,1.7,16.55,276.279,1.27
sz000738,中航动控,14.8,6.1,11.65,140.053,1.27
sz002174,游族网络,19.2,4.1,15.27,604.512,1.26
sz002089,新 海 宜,17.0,6.6,13.48,468.033,1.26
sh600622,嘉宝集团,12.9,1.3,10.24,307.23,1.26
sz000615,湖北金环,10.5,3.9,8.31,421.26,1.26
sh600639,浦东金桥,14.3,3.8,11.38,129.139,1.26
sz000967,上风高科,17.0,22.2,13.61,101.106,1.25
sz002040,南 京 港,9.1,-9.3,7.3,274.294,1.25
sh600289,亿阳信通,11.4,0.7,9.09,907.43,1.25
sz002570,贝因美,9.3,0.5,7.46,161.696,1.25
sh600202,哈空调,24.3,10.2,19.46,253.04,1.25
sh600482,风帆股份,17.2,3.0,13.87,397.983,1.24
sh600449,宁夏建材,7.0,10.0,5.66,175.609,1.24
sh600377,宁沪高速,5.7,24.4,4.6,30.1798,1.24
sh603021,山东华鹏,23.4,3.1,18.84,5407.9,1.24
sz002562,兄弟科技,13.6,9.5,10.99,433.618,1.24
sh600819,耀皮玻璃,9.0,0.9,7.31,159.655,1.23
sh600157,永泰能源,17.1,2.1,13.94,260.997,1.23
sh601058,赛轮金宇,6.1,7.1,4.95,151.895,1.23
sz002241,歌尔声学,5.8,-1.2,4.7,311.196,1.23
sz000616,海航投资,9.3,4.3,7.59,745.05,1.23
sz002579,中京电子,19.1,7.7,15.66,325.91,1.22
sz002591,恒大高新,8.4,-4.3,6.91,271.893,1.22
sh601918,国投新集,18.0,3.4,14.71,245.063,1.22
sz002437,誉衡药业,10.9,1.6,8.91,213.25,1.22
sh600358,国旅联合,14.9,-0.2,12.2,694.082,1.22
sz002136,安 纳 达,16.0,3.8,13.09,512.623,1.22
sz000598,兴蓉投资,9.3,1.5,7.7,464.168,1.21
sz002321,华英农业,11.2,12.9,9.27,295.03,1.21
sz002063,远光软件,17.6,0.9,14.56,605.728,1.21
sz002681,奋达科技,11.8,8.2,9.77,813.18,1.21
sz000893,东凌粮油,10.5,7.1,8.65,430.942,1.21
sz000777,中核科技,18.8,1.7,15.58,432.206,1.21
sh600546,山煤国际,7.8,5.8,6.5,221.905,1.2
sh603456,九洲药业,16.0,5.9,13.35,284.995,1.2
sz002311,海大集团,12.5,-19.7,10.44,47.4595,1.2
sz002438,江苏神通,15.6,7.1,13.05,476.395,1.2
sz002048,宁波华翔,14.9,6.7,12.39,365.192,1.2
sz000711,*ST京蓝,11.5,7.7,9.69,357.67,1.19
sh600353,旭光股份,11.3,2.9,9.5,256.526,1.19
sz000953,河池化工,24.0,1.0,20.11,240.841,1.19
sh600120,浙江东方,12.0,4.6,10.08,203.747,1.19
sh600038,中直股份,10.4,-0.5,8.8,334.548,1.18
sz002124,天邦股份,14.2,3.3,12.02,262.069,1.18
sh600590,泰豪科技,19.1,-2.9,16.33,258.105,1.17
sz002076,雪 莱 特,14.7,0.0,12.57,466.591,1.17
sz000089,深圳机场,11.3,5.5,9.62,315.322,1.17
sz002292,奥飞动漫,16.3,-2.2,14.1,337.853,1.16
sh600839,四川长虹,12.3,0.3,10.7,526.537,1.15
sh600110,中科英华,13.3,1.8,11.6,593.465,1.15
sz002734,利民股份,12.3,10.3,10.65,896.151,1.15
sz002286,保龄宝,13.9,6.3,12.11,476.777,1.15
sh600300,维维股份,11.2,-0.3,9.78,1158.35,1.15
sh600833,第一医药,15.3,12.5,13.25,234.787,1.15
sz002733,雄韬股份,15.1,9.1,13.1,493.512,1.15
sz001896,豫能控股,7.9,-18.3,6.88,56.2944,1.15
sz002266,浙富控股,17.6,-0.2,15.26,490.768,1.15
sh600103,青山纸业,14.8,1.1,12.87,440.877,1.15
sz000868,安凯客车,14.7,3.6,12.9,419.89,1.14
sh603611,诺力股份,11.7,1.7,10.25,1734.28,1.14
sh600257,大湖股份,10.3,5.3,9.05,389.229,1.14
sz002415,海康威视,9.9,0.5,8.7,162.298,1.14
sh601099,太平洋,11.3,0.3,9.91,429.095,1.14
sh600865,百大集团,19.1,-1.9,16.74,271.505,1.14
sh600798,宁波海运,23.3,2.7,20.39,340.253,1.14
sh600854,春兰股份,8.5,3.4,7.47,219.433,1.14
sh603019,中科曙光,10.8,4.1,9.45,575.755,1.14
sz000166,申万宏源,5.7,0.8,5.04,331.803,1.13
sz000031,中粮地产,9.5,1.6,8.45,299.276,1.12
sz002719,麦趣尔,11.5,1.6,10.24,591.354,1.12
sz002282,博深工具,13.2,11.2,11.77,268.034,1.12
sz002152,广电运通,10.5,0.7,9.46,181.171,1.11
sz002435,长江润发,11.7,11.9,10.5,221.528,1.11
sh600620,天宸股份,6.9,3.4,6.24,226.713,1.11
sz000662,索芙特,18.1,3.2,16.24,208.552,1.11
sz002537,海立美达,13.8,3.8,12.43,148.459,1.11
sz002597,金禾实业,12.9,16.6,11.69,242.676,1.1
sz002693,双成药业,7.1,4.7,6.48,1036.94,1.1
sh600605,汇通能源,17.1,-0.8,15.51,333.002,1.1
sz000721,西安饮食,12.0,1.6,11.03,284.156,1.09
sz002672,东江环保,18.6,-1.3,17.02,322.847,1.09
sz000519,江南红箭,8.7,-7.1,8.01,429.484,1.09
sh601011,宝泰隆,13.0,2.1,12.06,124.996,1.08
sz000685,中山公用,8.1,-2.5,7.53,194.614,1.08
sh603199,九华旅游,10.7,3.7,9.93,677.604,1.08
sh601669,中国电建,8.2,0.0,7.64,1515.32,1.07
sz002439,启明星辰,24.2,2.4,22.56,582.398,1.07
sz002342,巨力索具,9.2,2.8,8.56,377.823,1.07
sh600021,上海电力,21.4,0.7,20.02,357.327,1.07
sh600026,中海发展,7.4,1.8,6.97,382.954,1.06
sz002564,天沃科技,11.1,4.0,10.43,373.053,1.06
sz002365,永安药业,11.4,-2.6,10.76,325.23,1.06
sh600536,中国软件,5.7,0.4,5.44,861.574,1.05
sh600176,中国巨石,2.8,0.6,2.66,371.646,1.05
sz002369,卓翼科技,14.3,2.0,13.6,568.846,1.05
sz000069,华侨城Ａ,4.1,-1.2,3.91,295.706,1.05
sz002686,亿利达,11.5,13.1,10.95,701.787,1.05
sz002067,景兴纸业,11.5,4.5,10.99,449.494,1.05
sz002247,帝龙新材,5.9,1.9,5.64,313.784,1.05
sz002632,道明光学,15.2,-9.1,14.59,231.88,1.04
sh600118,中国卫星,13.3,0.1,12.85,626.819,1.04
sz002636,金安国纪,27.4,5.0,26.43,1325.29,1.04
sz000030,富奥股份,12.0,-5.0,11.49,300.825,1.04
sz002446,盛路通信,20.7,4.5,19.94,494.723,1.04
sh603306,华懋科技,12.9,5.4,12.35,700.103,1.04
sh600509,天富能源,5.2,3.1,5.01,230.402,1.04
sz000988,华工科技,14.0,2.0,13.42,1053.4,1.04
sh600851,海欣股份,10.4,6.6,10.14,287.647,1.03
sh600220,江苏阳光,6.4,8.5,6.21,284.858,1.03
sz002726,龙大肉食,8.2,4.5,8.0,469.057,1.02
sh603126,中材节能,8.0,1.7,7.88,588.085,1.02
sz002578,闽发铝业,16.6,-5.8,16.23,794.022,1.02
sz000901,航天科技,11.2,0.6,10.99,444.127,1.02
sh600986,科达股份,19.0,0.8,18.84,513.118,1.01
sz000157,中联重科,6.6,1.4,6.56,215.821,1.01
sz000987,广州友谊,9.9,8.9,9.9,261.662,1.0
sz000727,华东科技,6.7,9.1,6.68,183.085,1.0
sz002407,多氟多,8.5,9.2,8.54,428.556,1.0
sh600019,宝钢股份,9.5,0.3,9.49,146.046,1.0
sh600485,信威集团,9.7,-1.6,9.72,704.679,1.0
sh600089,特变电工,6.9,-0.4,6.93,313.841,1.0
sh603788,宁波高发,14.0,10.6,14.06,639.097,1.0
sz002329,皇氏集团,9.3,7.6,9.36,358.698,0.99
sz000561,烽火电子,11.4,-0.5,11.46,701.67,0.99
sz002427,尤夫股份,11.0,6.4,11.09,147.536,0.99
sz002687,乔治白,12.9,-9.8,13.2,283.321,0.98
sz002426,胜利精密,12.4,0.6,12.63,245.161,0.98
sh600106,重庆路桥,13.0,-1.1,13.26,328.128,0.98
sz000836,鑫茂科技,18.8,9.7,19.23,295.832,0.98
sz002588,史丹利,10.5,-2.5,10.7,219.035,0.98
sh600593,大连圣亚,11.4,2.7,11.58,460.092,0.98
sh600511,国药股份,5.6,0.8,5.79,216.853,0.97
sz000613,大东海A,10.7,-1.4,10.99,470.967,0.97
sz002338,奥普光电,13.9,20.1,14.33,110.556,0.97
sh601216,内蒙君正,10.7,0.5,11.05,265.594,0.97
sz002148,北纬通信,10.4,4.4,10.84,1629.82,0.96
sz000918,嘉凯城,7.1,2.1,7.42,82.8252,0.96
sh603288,海天味业,10.7,-9.3,11.2,202.427,0.96
sh600621,华鑫股份,12.8,4.5,13.32,222.679,0.96
sh600210,紫江企业,11.8,1.8,12.38,684.219,0.95
sh600685,广船国际,8.8,1.3,9.3,270.416,0.95
sh603678,火炬电子,13.4,20.4,14.04,288.019,0.95
sz002051,中工国际,5.5,2.2,5.77,309.2,0.95
sh600479,千金药业,9.1,0.5,9.68,244.691,0.94
sz002481,双塔食品,4.6,-7.9,4.88,142.031,0.94
sh600345,长江通信,8.8,-0.8,9.34,239.681,0.94
sh603869,北部湾旅,18.0,3.4,19.21,1093.91,0.94
sh600666,西南药业,13.1,2.3,14.01,255.159,0.94
sh601390,中国中铁,8.2,0.0,8.83,409.799,0.93
sh600641,万业企业,6.7,9.7,7.21,157.121,0.93
sh600586,金晶科技,5.2,7.8,5.61,507.401,0.93
sh603015,弘讯科技,12.6,2.9,13.5,921.273,0.93
sz002527,新时达,15.8,0.0,16.98,696.355,0.93
sz002516,江苏旷达,17.7,12.7,19.08,243.687,0.93
sh600815,厦工股份,10.0,2.9,10.92,283.768,0.92
sh603600,永艺股份,12.9,-2.1,13.99,4022.07,0.92
sz002153,石基信息,3.9,0.3,4.24,222.838,0.92
sh601872,招商轮船,5.4,2.6,5.85,236.051,0.92
sz000029,深深房Ａ,9.2,5.3,9.97,197.551,0.92
sz002528,英飞拓,9.0,3.6,9.93,260.139,0.91
sh600112,天成控股,17.7,-0.3,19.39,638.446,0.91
sh600135,乐凯胶片,17.8,-0.7,19.86,488.141,0.9
sz000504,南华生物,4.4,-0.8,4.88,210.962,0.9
sz000818,方大化工,11.9,1.2,13.2,380.983,0.9
sz002052,同洲电子,5.8,2.0,6.48,809.68,0.9
sz002664,信质电机,7.3,11.0,8.08,171.208,0.9
sz002677,浙江美大,11.0,12.4,12.16,469.591,0.9
sz000554,泰山石油,10.8,6.5,12.17,570.595,0.89
sh600363,联创光电,7.8,3.4,8.74,454.755,0.89
sh600821,津劝业,11.9,-0.1,13.33,430.784,0.89
sh603799,华友钴业,14.9,0.6,16.73,546.048,0.89
sh600868,梅雁吉祥,8.0,4.7,9.02,437.393,0.89
sh600108,亚盛集团,5.3,0.8,5.95,438.375,0.89
sh600834,申通地铁,13.4,2.9,15.02,120.245,0.89
sz002718,友邦吊顶,4.9,-4.2,5.59,750.131,0.88
sh600959,江苏有线,26.5,152.8,30.06,18.8917,0.88
sh600863,内蒙华电,6.6,-0.2,7.46,263.304,0.88
sz000673,当代东方,9.2,7.3,10.62,350.23,0.87
sz000682,东方电子,12.5,4.3,14.42,495.829,0.87
sh600074,保千里,14.4,6.8,16.53,363.064,0.87
sz002228,合兴包装,10.5,-7.9,12.04,127.268,0.87
sz000731,四川美丰,6.4,6.0,7.48,423.838,0.86
sz002390,信邦制药,13.2,5.6,15.3,437.247,0.86
sz002713,东易日盛,11.5,0.9,13.31,635.516,0.86
sh600867,通化东宝,7.4,-2.8,8.63,180.777,0.86
sh600375,华菱星马,9.5,2.9,11.03,659.189,0.86
sz000785,武汉中商,13.9,5.2,16.37,214.954,0.85
sz000973,佛塑科技,6.9,-3.0,8.08,753.989,0.85
sz000066,长城电脑,11.9,1.4,14.0,361.227,0.85
sz002735,王子新材,7.6,8.1,8.93,1911.96,0.85
sh600240,华业地产,8.6,2.1,10.14,227.329,0.85
sh600370,三房巷,9.2,0.6,10.93,149.288,0.84
sz002058,威 尔 泰,15.3,5.4,18.12,223.082,0.84
sh601886,江河创建,11.7,6.1,13.95,122.012,0.84
sz002678,珠江钢琴,10.9,13.3,12.98,349.987,0.84
sz000812,陕西金叶,7.3,5.4,8.74,319.775,0.84
sz002308,威创股份,15.2,6.7,18.21,523.302,0.83
sz002351,漫步者,10.9,2.8,13.17,257.219,0.83
sz002747,埃斯顿,16.7,7.2,20.24,2143.9,0.83
sz000701,厦门信达,7.7,4.4,9.28,312.794,0.83
sh600640,号百控股,7.7,3.8,9.25,499.096,0.83
sz000665,湖北广电,7.5,7.5,8.99,427.072,0.83
sz000670,盈方微,6.4,3.9,7.67,355.783,0.83
sz002270,法因数控,8.3,4.5,9.99,2088.23,0.83
sz002348,高乐股份,14.0,3.2,17.04,479.201,0.82
sz002432,九安医疗,7.8,2.1,9.5,389.867,0.82
sz000767,漳泽电力,13.1,1.5,16.02,725.034,0.82
sz002611,东方精工,15.3,0.7,18.64,412.114,0.82
sz002619,巨龙管业,5.2,-1.0,6.41,257.387,0.81
sz000933,神火股份,5.9,4.5,7.31,126.466,0.81
sz002479,富春环保,12.4,7.0,15.36,206.594,0.81
sh600310,桂东电力,7.3,-3.6,8.99,250.179,0.81
sh600198,大唐电信,7.0,0.3,8.67,356.806,0.81
sz002450,康得新,12.3,0.1,15.44,196.303,0.8
sh603828,柯利达,8.1,6.6,10.09,541.694,0.8
sz002585,双星新材,5.7,-1.5,7.11,232.189,0.8
sh600982,宁波热电,4.6,2.5,5.78,256.741,0.8
sh600009,上海机场,6.8,-4.9,8.48,109.871,0.8
sz000096,广聚能源,12.7,2.7,15.89,698.035,0.8
sz000961,中南建设,8.0,4.2,10.03,91.6826,0.8
sz000759,中百集团,6.0,6.7,7.5,101.947,0.8
sz002056,横店东磁,4.2,8.0,5.35,173.938,0.79
sh600630,龙头股份,13.3,-2.8,16.85,324.828,0.79
sz002628,成都路桥,5.7,4.9,7.18,451.333,0.79
sz000690,宝新能源,8.2,0.4,10.54,351.355,0.78
sh601021,春秋航空,9.5,-1.6,12.2,229.445,0.78
sh600122,宏图高科,12.7,-0.6,16.27,349.417,0.78
sz000631,顺发恒业,6.4,8.3,8.17,105.795,0.78
sh600299,蓝星新材,15.8,5.0,20.24,157.435,0.78
sh603030,全筑股份,20.6,2.8,26.28,1299.17,0.78
sh600712,南宁百货,9.4,5.4,12.15,516.456,0.77
sz002745,木林森,14.9,2.4,19.24,913.409,0.77
sz002739,万达院线,17.3,6.4,22.46,865.788,0.77
sz002404,嘉欣丝绸,8.9,2.6,11.76,505.052,0.76
sh600708,海博股份,11.5,6.1,15.08,301.408,0.76
sz002217,合力泰,12.8,-4.8,16.85,439.408,0.76
sz002300,太阳电缆,8.6,0.9,11.45,147.116,0.75
sh603998,方盛制药,8.7,3.2,11.53,929.744,0.75
sh600850,华东电脑,8.3,-0.8,11.25,304.642,0.74
sh600992,贵绳股份,6.7,6.3,9.0,308.606,0.74
sh600555,九龙山,16.3,2.8,21.97,361.89,0.74
sh600078,澄星股份,6.1,5.1,8.2,262.035,0.74
sz002324,普利特,6.3,16.1,8.5,195.767,0.74
sz002609,捷顺科技,8.8,0.4,12.09,1140.47,0.73
sz002111,威海广泰,14.5,6.4,19.99,545.998,0.73
sh600073,上海梅林,7.1,0.4,9.79,262.107,0.73
sh600160,巨化股份,4.9,6.8,6.74,146.687,0.73
sh600598,XD北大荒,6.2,1.6,8.48,159.697,0.73
sz002389,南洋科技,9.9,4.6,13.73,696.854,0.72
sh600433,冠豪高新,3.4,4.1,4.71,120.431,0.72
sz000049,德赛电池,4.8,3.2,6.65,321.701,0.72
sz002258,利尔化学,4.7,4.5,6.49,128.982,0.72
sz002317,众生药业,4.1,9.3,5.73,308.43,0.72
sh600162,香江控股,5.5,4.4,7.61,240.076,0.72
sh603818,曲美股份,8.4,0.0,11.78,2867.53,0.71
sz002309,中利科技,3.4,-1.9,4.78,287.156,0.71
sz002166,莱茵生物,7.5,4.9,10.63,611.065,0.71
sh600360,华微电子,6.3,0.9,8.83,419.666,0.71
sh600207,安彩高科,8.0,-1.1,11.21,379.421,0.71
sh600661,新南洋,6.4,1.2,8.99,924.62,0.71
sz002322,理工监测,9.4,0.6,13.18,314.217,0.71
sz002615,哈尔斯,10.3,7.6,14.57,619.997,0.71
sz002112,三变科技,10.8,1.7,15.19,482.309,0.71
sh600088,中视传媒,5.2,1.4,7.43,348.445,0.7
sz002377,国创高新,5.0,0.2,7.15,210.574,0.7
sz002243,通产丽星,5.1,-3.9,7.28,159.268,0.7
sh600871,石化油服,6.0,3.9,8.56,643.222,0.7
sz002014,永新股份,6.2,-3.2,8.84,442.359,0.7
sz002400,省广股份,8.2,-5.1,11.78,177.276,0.7
sz002006,精功科技,5.5,6.9,7.86,232.142,0.7
sz002003,伟星股份,6.9,-1.0,10.01,180.353,0.69
sz002229,鸿博股份,6.3,5.6,9.08,485.091,0.69
sh600581,八一钢铁,4.8,0.3,6.96,292.612,0.69
sz002697,红旗连锁,8.2,-1.7,11.84,891.416,0.69
sz000791,甘肃电投,5.3,6.7,7.82,392.439,0.68
sz002382,蓝帆医疗,6.1,-6.8,8.93,212.205,0.68
sz002230,科大讯飞,12.2,0.0,18.01,604.782,0.68
sz000639,西王食品,11.0,16.1,16.07,186.04,0.68
sh600227,赤天化,6.3,-0.7,9.26,452.551,0.68
sz002461,珠江啤酒,5.5,10.4,8.23,79.0159,0.67
sz002647,宏磊股份,6.2,3.4,9.25,550.452,0.67
sh600121,郑州煤电,3.9,2.0,5.92,206.758,0.66
sz002050,三花股份,7.9,1.7,11.99,200.462,0.66
sh600699,均胜电子,10.1,0.1,15.38,347.173,0.66
sz002459,天业通联,8.7,-5.5,13.17,613.626,0.66
sz002492,恒基达鑫,6.5,3.2,9.92,176.295,0.66
sz000803,金宇车城,7.0,7.9,10.59,402.373,0.66
sh600127,金健米业,6.4,7.7,9.75,366.487,0.66
sz002665,首航节能,5.8,6.7,8.85,319.463,0.66
sz002115,三维通信,8.3,8.0,12.51,702.68,0.66
sh600100,同方股份,7.1,0.2,10.7,547.603,0.66
sz000678,襄阳轴承,5.9,-5.6,8.97,285.626,0.66
sh600037,歌华有线,6.5,1.6,10.06,236.668,0.65
sh600285,羚锐制药,10.0,1.2,15.29,806.372,0.65
sz002190,成飞集成,4.5,9.9,6.94,245.698,0.65
sh600159,大龙地产,11.6,8.0,17.82,383.665,0.65
sh600373,中文传媒,6.1,-5.0,9.47,115.978,0.64
sz000430,张家界,4.0,3.5,6.35,283.963,0.63
sz000707,双环科技,5.5,13.2,8.7,280.089,0.63
sz002222,福晶科技,8.7,-1.5,13.75,317.866,0.63
sz002433,太安堂,5.2,1.2,8.23,482.182,0.63
sz002073,软控股份,9.0,2.5,14.34,744.811,0.63
sh600526,菲达环保,7.7,0.3,12.3,1258.16,0.63
sz002379,鲁丰环保,6.0,12.5,9.58,520.325,0.63
sz002069,獐 子 岛,7.6,10.4,12.11,164.513,0.63
sz002142,宁波银行,3.3,-1.2,5.29,190.097,0.62
sh600811,东方集团,3.9,1.1,6.32,308.845,0.62
sh600063,皖维高新,7.1,8.9,11.42,276.56,0.62
sh600642,申能股份,6.6,-0.5,10.7,144.477,0.62
sh600283,钱江水利,4.4,-0.4,7.21,441.337,0.61
sh603158,腾龙股份,7.8,-4.4,12.75,1108.42,0.61
sh600313,农发种业,6.9,2.8,11.36,222.637,0.61
sz002508,老板电器,7.8,-5.3,13.04,95.7043,0.6
sh601607,上海医药,8.8,-1.6,14.75,162.238,0.6
sz002178,延华智能,9.9,4.8,16.56,439.002,0.6
