symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600000,浦发银行,-5.8630523165083215,0.234329,123.677,-87.7451
sh600004,白云机场,14.914588197233444,6.24566,205.987,68.637
sh600005,武钢股份,9.752062040734248,3.2316,259.279,64.3231
sh600006,东风汽车,0.6617221048427584,0.773196,286.33,-25.5621
sh600007,中国国贸,-5.210305756043129,2.53968,64.6797,-18.7374
sh600008,首创股份,0.11500739433093696,2.24719,169.828,-48.4996
sh600009,上海机场,-2.4717486405254707,1.6793900000000002,109.871,63.9238
sh600010,包钢股份,15.63849231506658,1.34003,320.062,82.9036
sh600011,华能国际,0.022827915047370754,6.311640000000001,123.954,6.22976
sh600012,皖通高速,0.23315553947529055,0.0,164.667,-90.0
sh600015,华夏银行,-1.5406715661876371,0.333111,128.715,-78.9129
sh600016,民生银行,-5.575128104129558,-1.30233,169.719,-103.127
sh600017,日照港,5.740417680118179,3.9426500000000004,230.81,-21.0536
sh600018,上港集团,-0.8264479237790757,1.10865,51.6381,-70.5175
sh600019,宝钢股份,4.1465809639703695,5.86035,146.046,26.1698
sh600020,中原高速,2.4193914174558477,4.52489,242.403,-22.4297
sh600021,上海电力,3.490872155484258,3.1642799999999998,357.327,22.6756
sh600022,山东钢铁,8.120349583267295,4.6913599999999995,137.365,11.2282
sh600023,浙能电力,1.793580465193812,2.45161,1087.65,-55.2156
sh600026,中海发展,6.51209260322154,3.83142,382.954,61.7863
sh600027,华电国际,-8.539429447065409,3.63409,195.229,-54.7126
sh600028,中国石化,0.3732886754568438,1.2016,62.3716,7.86543
sh600029,南方航空,6.200259231738752,7.037459999999999,265.819,32.5634
sh600030,中信证券,-1.4118889963267864,0.48250899999999997,297.519,-73.9228
sh600031,三一重工,4.598697074787878,3.88248,220.756,51.6876
sh600033,福建高速,5.744554513818878,3.6900399999999998,261.095,40.6828
sh600035,楚天高速,-1.3386480435014483,2.8169,265.108,-3.6614
sh600036,招商银行,2.611316407281559,0.0565291,106.008,88.5636
sh600037,歌华有线,8.423137379893571,3.7279899999999997,236.668,57.3849
sh600038,中直股份,5.036897135799084,3.89636,334.548,41.6303
sh600039,四川路桥,10.646872627358649,7.0122,595.329,33.8302
sh600048,保利地产,0.08367658914443002,0.432588,298.195,36.5156
sh600050,中国联通,5.51253798688415,1.7543900000000001,300.999,70.1196
sh600051,宁波联合,3.413851526360282,3.80165,273.131,4.59364
sh600052,浙江广厦,2.898568530798428,4.53333,173.087,4.88174
sh600054,黄山旅游,-13.458254340046244,1.0443900000000002,322.659,-81.2338
sh600055,华润万东,1.086437047056798,4.740740000000001,122.543,-21.0614
sh600056,中国医药,-3.5652632571193354,2.39391,205.682,-48.8482
sh600057,象屿股份,-0.26981556437134374,3.60544,306.983,50.7557
sh600058,五矿发展,8.983482469180675,3.23938,255.293,56.2719
sh600059,古越龙山,-4.604503080438247,3.125,213.861,-65.6808
sh600060,海信电器,4.403505296907454,3.2608699999999997,219.325,61.762
sh600061,中纺投资,-7.7458433920642165,1.19263,215.952,-51.3752
sh600062,华润双鹤,11.929468346977874,1.5759800000000002,145.981,61.4243
sh600063,皖维高新,8.313377622772189,4.66563,276.56,32.3055
sh600064,南京高科,2.276556365102311,2.5291799999999998,212.516,23.756
sh600066,宇通客车,-11.59543043077075,1.41605,131.086,-82.6658
sh600067,冠城大通,0.9403124602100574,2.09125,306.029,-30.7506
sh600068,葛洲坝,4.623209905835167,3.33333,530.58,34.6532
sh600070,浙江富润,8.877921637688807,4.08424,305.897,3.39663
sh600073,上海梅林,2.899654023991734,4.44092,262.107,33.7684
sh600074,保千里,-10.151804399615177,4.49735,363.064,-67.4009
sh600075,新疆天业,0.12577480152076453,3.5869600000000004,286.188,-28.7894
sh600077,宋都股份,-1.1967918866502103,0.847458,184.252,-76.5803
sh600078,澄星股份,-3.359176561738146,2.75028,262.035,-60.6786
sh600079,人福医药,3.5329210763153753,2.63889,219.24,57.8879
sh600080,金花股份,-7.170941885456658,2.9112099999999996,525.611,-52.6611
sh600081,东风科技,-2.008180368528722,1.10775,231.696,-71.9072
sh600082,海泰发展,5.415435262431887,4.30248,356.518,-4.34112
sh600084,中葡股份,5.1986169585360775,2.6087,129.231,50.9338
sh600085,同仁堂,9.365818679971058,5.40632,116.628,55.3299
sh600088,中视传媒,2.6100627733471673,6.01809,348.445,22.3017
sh600089,特变电工,1.5840569806266733,1.92547,313.841,63.3892
sh600090,啤酒花,7.922792953233026,5.66038,926.626,40.3061
sh600093,禾嘉股份,8.059221868267713,5.7679800000000006,339.262,34.2025
sh600094,大名城,5.740937554359781,4.71753,132.106,32.9874
sh600095,哈高科,8.89741815884682,5.10295,425.448,43.3397
sh600096,云天化,-2.7595262091585964,1.5918999999999999,214.865,-42.7391
sh600097,开创国际,-1.1606426787075577,2.82555,254.392,45.3083
sh600098,广州发展,3.59442022526364,2.81407,73.9244,-29.1429
sh600100,同方股份,12.097940473693534,5.06329,547.603,64.6627
sh600101,明星电力,-0.9818902971784523,3.1122,309.397,-39.5108
sh600103,青山纸业,11.625080137169284,4.9922,440.877,45.477
sh600104,上汽集团,5.183314393890566,-0.0788644,64.6053,90.8273
sh600105,永鼎股份,-3.8619678794613663,5.08578,524.52,-24.2601
sh600106,重庆路桥,10.49164605316582,7.34745,328.128,37.6638
sh600107,美尔雅,7.930875927358742,7.64895,612.528,15.9843
sh600108,亚盛集团,4.047181431878815,2.15264,438.375,65.0116
sh600109,国金证券,1.0386306362763673,0.9569380000000001,334.41,53.7886
sh600110,中科英华,-0.3282785088129513,2.3584899999999998,593.465,-47.6736
sh600111,北方稀土,-3.507039264960638,1.4390800000000001,256.647,-67.9019
sh600112,天成控股,5.306655850902335,7.90743,638.446,40.4153
sh600113,浙江东日,-2.0989162000296613,3.9750599999999996,233.199,-41.1546
sh600114,东睦股份,-7.739475189544119,5.0959200000000004,243.505,-48.2247
sh600115,东方航空,6.670723293535841,6.43836,207.1,39.5345
sh600116,三峡水利,9.35992465235176,3.7037,470.517,50.6733
sh600118,中国卫星,0.8069003838153513,3.91267,626.819,-1.4128
sh600119,长江投资,42.75710128211909,9.98662,536.024,70.1817
sh600120,浙江东方,11.925122911883152,6.77291,203.747,24.9115
sh600121,郑州煤电,2.641368427233638,3.8888899999999995,206.758,1.58925
sh600122,宏图高科,-0.9944828449253296,3.78486,349.417,19.9409
sh600123,兰花科创,0.9311533190532424,2.1235500000000003,278.297,-59.7687
sh600125,铁龙物流,-4.450294495583388,3.99652,340.332,-59.9632
sh600126,杭钢股份,16.575457051410403,3.9393900000000004,147.404,72.5764
sh600127,金健米业,12.070507858804238,3.90516,366.487,69.735
sh600128,弘业股份,23.37268945197912,5.15708,322.922,62.114
sh600129,太极集团,0.7027877843847002,-1.7849400000000002,549.758,119.937
sh600130,波导股份,0.45970059342981945,4.08163,307.159,52.2409
sh600131,岷江水电,1.9715993323580687,3.5377400000000003,303.146,37.7549
sh600132,重庆啤酒,-6.777052831139237,1.24464,330.61,-69.0495
sh600133,东湖高新,0.09624909537032666,5.27226,479.356,12.8329
sh600135,乐凯胶片,-1.7171642340548303,6.07477,488.141,-30.7033
sh600138,中青旅,11.191350361949247,5.33917,307.907,70.0925
sh600139,西部资源,2.0993187662548634,3.60759,176.919,31.8562
sh600141,兴发集团,-12.085632541889495,1.4483599999999999,481.338,-85.8444
sh600143,金发科技,3.632852285629843,2.7149300000000003,231.929,-9.29153
sh600146,大元股份,23.41900370163502,1.37229,213.138,84.8549
sh600148,长春一东,-6.8584678660652125,3.35241,290.826,-47.3934
sh600149,廊坊发展,-3.9564171658240688,2.75132,734.819,-42.2321
sh600150,中国船舶,1.4663760459890092,2.31445,301.558,2.8018
sh600152,维科精华,10.955676564769087,8.97227,734.314,37.3706
sh600153,建发股份,2.9078932609911075,5.32633,257.124,31.9674
sh600156,华升股份,3.561834215071877,9.40594,381.834,17.993
sh600157,永泰能源,2.2869070979593618,3.3285099999999996,260.997,22.2211
sh600158,中体产业,39.22045244077549,9.9847,1387.44,74.319
sh600159,大龙地产,6.703021951342403,6.93069,383.665,-2.59013
sh600160,巨化股份,-3.7118229404976777,2.64368,146.687,-61.7977
sh600161,天坛生物,1.1179211951715302,0.477747,199.1,82.3143
sh600162,香江控股,-7.162390646690808,3.85488,240.076,-35.5111
sh600165,新日恒力,-2.6482939492838113,2.9819,272.728,-60.4837
sh600166,福田汽车,8.775386445679066,2.90621,215.632,47.689
sh600167,联美控股,-7.281036985906017,2.59459,106.386,-61.6792
sh600168,武汉控股,-1.248243833855909,2.56074,212.601,55.7009
sh600170,上海建工,-5.703686808454158,1.9182700000000001,95.5741,-73.918
sh600171,上海贝岭,72.76427707910288,10.0,235.036,81.3941
sh600173,卧龙地产,-13.613816938812965,1.30577,237.022,-82.622
sh600175,美都能源,-0.369753805623472,2.71041,263.769,-31.9547
sh600176,中国巨石,-6.909262365877194,-3.09478,371.646,-120.4
sh600177,雅戈尔,-14.002031703997345,1.40777,226.778,-84.0849
sh600178,东安动力,3.2158350829932965,4.8913,173.28,48.4772
sh600180,瑞茂通,20.902583598482632,10.0,561.987,50.5451
sh600182,S佳通,-1.2347487449614507,0.0,325.535,-90.0
sh600183,生益科技,15.737459996333813,4.0728800000000005,575.773,75.6902
sh600184,光电股份,-7.605980526614174,3.50877,153.719,-71.3026
sh600185,格力地产,6.145459377264122,4.05458,185.741,40.5865
sh600186,莲花味精,2.3254761059686846,2.35457,268.717,-9.05407
sh600187,国中水务,0.7216502892884806,2.88582,433.155,-47.8284
sh600188,兖州煤业,5.712126770944986,2.17697,62.5723,38.1201
sh600189,吉林森工,12.915044694324349,3.6035999999999997,235.748,61.6736
sh600190,锦州港,-1.3046911221703756,3.1796499999999996,105.834,-0.435852
sh600192,长城电工,1.752185239998031,3.6575900000000003,359.413,48.0333
sh600193,创兴资源,1.9363233736002117,3.5940800000000004,473.587,44.2474
sh600195,中牧股份,-20.813551362695158,2.52525,216.663,-80.9732
sh600196,复星医药,-7.213023891024939,0.94697,156.39,-75.42
sh600197,伊力特,3.2092798382989036,2.55288,168.683,-20.3524
sh600198,大唐电信,5.181464386109713,5.97144,356.806,31.2901
sh600199,金种子酒,5.655099533082673,2.12947,256.289,45.0897
sh600200,江苏吴中,-0.4627918190255351,3.40357,406.836,-65.0933
sh600201,金宇集团,7.817322484227061,4.750929999999999,110.44,33.9958
sh600202,哈空调,0.4349784041562715,3.13316,253.04,41.7269
sh600203,福日电子,5.05823799314475,3.21658,389.021,67.4017
sh600206,有研新材,14.942088622291575,6.06246,279.461,50.1825
sh600207,安彩高科,-7.683933735978535,1.5950900000000001,379.421,-12.4629
sh600208,新湖中宝,-3.504166254013415,4.45293,140.919,-50.576
sh600210,紫江企业,4.153999152134012,4.41558,684.219,-6.75976
sh600211,西藏药业,-2.0203855362579457,2.28005,174.347,8.38605
sh600212,江泉实业,2.5682362688449736,4.61347,412.546,45.727
sh600213,亚星客车,-4.485518500667558,4.62342,257.352,16.2062
sh600215,长春经开,-13.04516458115652,2.2009600000000002,322.187,-74.712
sh600216,浙江医药,10.373083485163674,2.12928,199.787,73.771
sh600218,全柴动力,-4.627037990687545,1.85185,269.169,-31.0846
sh600219,南山铝业,-0.8526270253531851,1.75763,294.233,-63.7248
sh600220,江苏阳光,2.55548394067989,1.65913,284.858,-72.4922
sh600221,海南航空,24.62935697208761,10.0,547.897,65.5235
sh600222,太龙药业,-0.6138476917664041,2.16294,1257.5,-52.6442
sh600223,鲁商置业,-2.8853027835873175,2.20674,125.186,-52.9076
sh600227,赤天化,1.586078329566729,1.88235,452.551,64.4145
sh600228,昌九生化,18.690258935132757,3.59205,392.399,79.5683
sh600229,青岛碱业,-5.078033979472224,2.51479,1002.93,-63.9158
sh600230,沧州大化,0.1669708078894333,1.7531,191.364,6.88377
sh600231,凌钢股份,-5.016531750408532,2.38532,168.537,-1.56248
sh600233,大杨创世,21.070321296329826,9.797889999999999,610.964,54.3746
sh600234,山水文化,-5.517042247264568,3.56409,388.373,5.08747
sh600235,民丰特纸,1.6931468661148363,4.32767,443.586,0.13282
sh600236,桂冠电力,0.9923224137302405,3.40136,289.176,-2.06744
sh600237,铜峰电子,4.020626487832584,3.33333,346.424,25.2508
sh600238,海南椰岛,5.730000063025091,6.85976,234.644,47.7428
sh600239,云南城投,3.717244699907262,3.38462,228.614,-22.2389
sh600240,华业地产,4.160871646133513,5.1744900000000005,227.329,52.2611
sh600241,时代万恒,0.3347371034324592,0.269542,422.321,-78.9919
sh600243,青海华鼎,-1.943444152145644,2.41741,424.24,33.2376
sh600248,延长化建,5.658262053025688,3.13943,127.548,0.0
sh600249,两面针,3.1213644177413187,4.19223,316.657,33.6651
sh600251,冠农股份,8.518044135243715,2.35393,133.722,-7.71573
sh600252,中恒集团,-2.932452803582417,3.18878,314.996,-38.4477
sh600255,鑫科材料,-5.020423491449362,3.65169,435.808,-60.2054
sh600256,广汇能源,5.612360382948381,2.30461,382.985,64.9413
sh600257,大湖股份,3.5249734433221103,4.02355,389.229,-1.07315
sh600260,凯乐科技,1.420701518564535,7.71313,862.723,-1.80954
sh600261,阳光照明,3.136575722768309,3.27181,186.774,-48.3593
sh600262,北方股份,-3.4307747205121855,2.98654,107.522,-53.9254
sh600266,北京城建,-6.549334022491259,3.49825,202.8,-32.7464
sh600267,海正药业,-2.7760359953239897,2.24344,172.408,21.1551
sh600268,国电南自,-3.22995649422044,2.53906,260.715,57.1921
sh600269,赣粤高速,-0.6137120478537202,3.86473,230.769,-1.56895
sh600270,外运发展,19.309893206092728,7.67967,162.0,60.2538
sh600271,航天信息,14.029825585645831,9.85253,303.562,52.0171
sh600272,开开实业,-1.382518353837993,2.39144,230.398,12.663
sh600273,嘉化能源,-3.347942762482066,2.3357699999999997,318.375,-21.7278
sh600276,恒瑞医药,-0.9167949911594022,0.42508,65.205,-61.961
sh600277,亿利能源,-3.707558262305419,2.03892,171.275,-54.5675
sh600278,东方创业,6.941428016652802,3.73494,98.453,-23.3269
sh600279,重庆港九,-6.06820239757542,3.03439,241.295,-39.1305
sh600281,太化股份,3.631316496858167,2.6815599999999997,254.615,-36.5736
sh600282,南钢股份,1.1302771187145737,2.93542,177.102,-48.106
sh600283,钱江水利,9.402268859099767,5.5252,441.337,5.06046
sh600284,浦东建设,2.1247883872589837,3.206,342.549,-17.7392
sh600285,羚锐制药,2.139699588085901,5.6000000000000005,806.372,15.3858
sh600287,江苏舜天,4.635285234123596,3.6119,313.466,37.3824
sh600288,大恒科技,6.911030657374664,3.1977899999999995,262.53,50.9815
sh600289,亿阳信通,14.424559873658701,7.34331,907.43,57.8182
sh600290,华仪电气,2.6252476416640778,3.3976800000000003,207.986,-12.3334
sh600291,西水股份,4.158827711675111,6.09105,472.326,36.5733
sh600292,中电远达,-1.135841121442932,2.80612,175.641,3.86781
sh600295,鄂尔多斯,14.312957712324867,2.23814,145.654,81.9372
sh600298,安琪酵母,-8.069101355651803,3.68377,230.561,-55.6759
sh600299,蓝星新材,8.652997845045553,10.0061,157.435,-14.8997
sh600300,维维股份,11.093202115841763,5.67376,1158.35,54.276
